date,mean temperature kelvin,mean temperature deg C,mean temperature uncertainty,fraction of sea-ice-covered ocean
2002-07-01,301.99016,28.84015697017935,0.12009,0.0
2002-07-02,301.99628,28.846279725635327,0.12128,0.0
2002-07-03,301.97138,28.821376786784867,0.12309,0.0
2002-07-04,301.94056,28.790559243968403,0.12199,0.0
2002-07-05,301.93144,28.781442114631545,0.12152,0.0
2002-07-06,301.88987,28.73986995410717,0.12346,0.0
2002-07-07,301.77913,28.62912924657508,0.12656,0.0
2002-07-08,301.6992,28.5492008398424,0.1229,0.0
2002-07-09,301.70018,28.550180307757216,0.12878,0.0
2002-07-10,301.70354,28.553537768247963,0.12638,0.0
2002-07-11,301.72095,28.570951952789187,0.13211,0.0
2002-07-12,301.70885,28.55885237396342,0.13171,0.0
2002-07-13,301.70871,28.55870886549673,0.12636,0.0
2002-07-14,301.71677,28.566768089835648,0.12415,0.0
2002-07-15,301.7445,28.59450055899105,0.12417,0.0
2002-07-16,301.72153,28.571527869406736,0.12219,0.0
2002-07-17,301.54593,28.39592564454972,0.13442,0.0
2002-07-18,301.48734,28.337341083249896,0.12123,0.0
2002-07-19,301.47652,28.32652384682723,0.11858,0.0
2002-07-20,301.47426,28.324255241971628,0.11857,0.0
2002-07-21,301.46885,28.3188524928928,0.11817,0.0
2002-07-22,301.41329,28.26328997409172,0.11857,0.0
2002-07-23,301.31501,28.1650134407339,0.12183,0.0
2002-07-24,301.27034,28.12034360339453,0.12165,0.0
2002-07-25,301.31692,28.166921615773617,0.13388,0.0
2002-07-26,301.12259,27.972588041657048,0.13702,0.0
2002-07-27,301.05283,27.902828338991185,0.12037,0.0
2002-07-28,301.07764,27.927644561425154,0.12261,0.0
2002-07-29,301.12984,27.979835058072126,0.12416,0.0
2002-07-30,301.25217,28.10216633577079,0.15961,0.0
2002-07-31,301.13289,27.982893474636967,0.15391,0.0
2002-08-01,301.14249,27.992488876551874,0.12183,0.0
2002-08-02,301.10608,27.956082149713662,0.12166,0.0
2002-08-03,301.13239,27.982393906487403,0.1198,0.0
2002-08-04,301.16679,28.016790144130425,0.12187,0.0
2002-08-05,301.30345,28.15344909529466,0.1211,0.0
2002-08-06,301.35868,28.208682394991627,0.11953,0.0
2002-08-07,301.3226,28.172602961459347,0.12114,0.0
2002-08-08,301.32116,28.17115610527009,0.12099,0.0
2002-08-09,301.34911,28.19911042427566,0.12104,0.0
2002-08-10,301.38801,28.23800921659233,0.11827,0.0
2002-08-11,301.37798,28.227975357458945,0.11848,0.0
2002-08-12,301.32958,28.17958415144136,0.12086,0.0
2002-08-13,301.33697,28.186974154092752,0.12337,0.0
2002-08-14,301.36435,28.214351060229887,0.12803,0.0
2002-08-15,301.45345,28.30345235111315,0.12258,0.0
2002-08-16,301.48321,28.33320605925104,0.11985,0.0
2002-08-17,301.47942,28.3294202590414,0.12537,0.0
2002-08-18,301.47569,28.32569192587709,0.12966,0.0
2002-08-19,301.43961,28.289609291308807,0.13549,0.0
2002-08-20,301.36033,28.210331911257867,0.13266,0.0
2002-08-21,301.34525,28.195253269536977,0.12493,0.0
2002-08-22,301.31916,28.16916153462085,0.12653,0.0
2002-08-23,301.23572,28.085723123268338,0.13841,0.0
2002-08-24,301.22665,28.076653469552923,0.16499,0.0
2002-08-25,301.20053,28.0505319913566,0.1492,0.0
2002-08-26,301.22412,28.07412076676775,0.13689,0.0
2002-08-27,301.42304,28.27304452635792,0.12302,0.0
2002-08-28,301.48559,28.335588905387738,0.1255,0.0
2002-08-29,301.45789,28.307894472107307,0.1244,0.0
2002-08-30,301.38855,28.238546917588053,0.12151,0.0
2002-08-31,301.36344,28.21343512742675,0.12125,0.0
2002-09-01,301.29635,28.146353429683927,0.11911,0.0
2002-09-02,301.18257,28.032571654733715,0.11356,0.0
2002-09-03,301.15636,28.006358262913466,0.12094,0.0
2002-09-04,301.21305,28.063050339963866,0.11661,0.0
2002-09-05,301.25198,28.101982506784623,0.11476,0.0
2002-09-06,301.41486,28.264863682408247,0.11084,0.0
2002-09-07,301.54101,28.39100504804503,0.11114,0.0
2002-09-08,301.68237,28.532371793119463,0.11154,0.0
2002-09-09,301.71624,28.566242496552547,0.11017,0.0
2002-09-10,301.71937,28.569369892780685,0.11138,0.0
2002-09-11,301.71599,28.56599420807657,0.11091,0.0
2002-09-12,301.84176,28.69175605600481,0.11473,0.0
2002-09-13,301.88825,28.738253924010507,0.11302,0.0
2002-09-14,301.98111,28.831110854716712,0.11476,0.0
2002-09-15,302.06707,28.917066469761263,0.11187,0.0
2002-09-16,301.9826,28.832603462037525,0.11024,0.0
2002-09-17,301.94176,28.791761388675184,0.11237,0.0
2002-09-18,301.85984,28.70984492609034,0.11139,0.0
2002-09-19,301.86345,28.71345081400932,0.11041,0.0
2002-09-20,301.86006,28.710055346755496,0.1116,0.0
2002-09-21,301.84522,28.69522176834448,0.11139,0.0
2002-09-22,301.78353,28.6335307499009,0.11613,0.0
2002-09-23,301.758,28.607996908244274,0.11324,0.0
2002-09-24,301.82141,28.671406112604306,0.11086,0.0
2002-09-25,301.91574,28.765742531889373,0.11136,0.0
2002-09-26,301.89859,28.7485926237361,0.11293,0.0
2002-09-27,302.11499,28.964990603744862,0.11603,0.0
2002-09-28,302.14156,28.99156123325514,0.11069,0.0
2002-09-29,302.15091,29.00090849987629,0.11095,0.0
2002-09-30,302.09121,28.94120640226004,0.1119,0.0
2002-10-01,302.0425,28.892495892954173,0.11226,0.0
2002-10-02,302.01913,28.8691296937983,0.11716,0.0
2002-10-03,301.81924,28.66924039823158,0.11412,0.0
2002-10-04,301.74389,28.59389462949452,0.11884,0.0
2002-10-05,301.82017,28.67016530076092,0.11746,0.0
2002-10-06,301.81282,28.66282226419128,0.11343,0.0
2002-10-07,301.81943,28.669431139462063,0.11414,0.0
2002-10-08,301.89982,28.749823808885253,0.11599,0.0
2002-10-09,301.93541,28.785407891750825,0.11726,0.0
2002-10-10,301.89903,28.74902581686433,0.11712,0.0
2002-10-11,301.79769,28.647694050548694,0.11415,0.0
2002-10-12,301.75304,28.603040531976266,0.11651,0.0
2002-10-13,301.72191,28.571906986178533,0.11821,0.0
2002-10-14,301.89844,28.748438802652004,0.11687,0.0
2002-10-15,301.91486,28.76486233248727,0.11702,0.0
